2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
8751055.95223029,8767707.02563379,8781654.31528759,8792327.98295371,8799335.37111309,8674089.85705019,8697202.01743182,8716853.24790439,8733048.53934188,8630826.21818478,8640021.28161053,8645584.04536642,8647414.73209682,8645421.83976882,8639483.69006196,8629596.80620959,8615792.91997498,8598120.000457,8576637.60353816,8551489.04529234,8522799.09955306,8491028.61180834,8456292.01058907,8418726.87405227,8378469.8766075
178592.978616945,178932.796441507,179217.43500587,179435.26495824,179578.272879858,167999.701614631,159419.181582253,150749.242334053,142000.789257592,131433.901799768,122677.786959987,113872.940820429,105029.32872992,96157.3713219985,87267.5120208282,78371.7167062424,69482.200967541,60611.1178279947,51770.4483110961,42972.3067602627,34228.1088335458,25549.7350405473,16946.4769751281,8427.1540280804,0
8751055.95223029,8767707.02563379,8781654.31528759,8792327.98295371,8799335.37111309,8674089.85705019,8697202.01743182,8716853.24790439,8733048.53934188,8630826.21818478,8640021.28161053,8645584.04536642,8647414.73209682,8645421.83976882,8639483.69006196,8629596.80620959,8615792.91997498,8598120.000457,8576637.60353816,8551489.04529234,8522799.09955306,8491028.61180834,8456292.01058907,8418726.87405227,8378469.8766075
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.400388982924179,0.408021107025964,0.415799386266694,0.423721022251307,0.431798568826949,0.474456067839888,0.490733933267735,0.507584216855281,0.525024043311493,0.543077502108921,0.56176578929126,0.58111864074515,0.601151900872985,0.621906213171221,0.643394686127177,0.66343879670955,0.684044604250862,0.70521268073494,0.726959702740202,0.749282933997615,0.772169884939537,0.795652659273252,0.819707009760204,0.84432208803604,0.869509769527277
,,,,,,,,,,,,,,,,,,,,,,,,
0.7,0.7,0.7,0.7,0.7,0.706,0.712,0.718,0.724,0.73,0.736,0.742,0.748,0.754,0.76,0.764,0.768,0.772,0.776,0.78,0.784,0.788,0.792,0.796,0.8
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.525829383886256,0.525829383886256,0.525829383886256,0.525829383886256,0.525829383886256,0.53224644549763,0.538663507109005,0.545080568720379,0.551497630331754,0.557914691943128,0.564331753554503,0.570748815165877,0.577165876777252,0.583582938388626,0.59,0.596,0.602,0.608,0.614,0.62,0.626,0.632,0.638,0.644,0.65
,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.193,0.186,0.179,0.172,0.165,0.158,0.151,0.144,0.137,0.13,0.127,0.124,0.121,0.118,0.115,0.112,0.109,0.106,0.103,0.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.263,0.256,0.249,0.242,0.235,0.228,0.221,0.214,0.207,0.2,0.195,0.19,0.185,0.18,0.175,0.17,0.165,0.16,0.155,0.15
0.27,0.27,0.27,0.27,0.27,0.263,0.256,0.249,0.242,0.235,0.228,0.221,0.214,0.207,0.2,0.195,0.19,0.185,0.18,0.175,0.17,0.165,0.16,0.155,0.15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.163,0.156,0.149,0.142,0.135,0.128,0.121,0.114,0.107,0.1
0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842,0.944604135203842
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0.65,0.62980125,0.61023017615625,0.591267273432195,0.572893642910289,0.555090972956852,0.537841520972218,0.521128095708006,0.50493404013388,0.48924321483672,0.474039981935669,0.459309189497018,0.445036156433398,0.43120665787223,0.417806910978851,0.404823561220183,0.392243669055266,0.380054697039373,0.368244497328875,0.35680129957438,0.345713699190106,0.334970645987774,0.324561433163704,0.314475686628141,0.304703354666172
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
,,,,,,,,,,,,,,,,,,,,,,,,
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
,,,,,,,,,,,,,,,,,,,,,,,,
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352,799.884465065352
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8929648.93084724,8946639.8220753,8960871.75029346,8971763.24791195,8978913.64399295,8842089.55866482,8856621.19901407,8867602.49023844,8875049.32859948,8762260.11998455,8762699.06857052,8759456.98618685,8752444.06082674,8741579.21109082,8726751.20208279,8707968.52291583,8685275.12094252,8658731.118285,8628408.05184926,8594461.3520526,8557027.20838661,8516578.34684889,8473238.4875642,8427154.02808035,8378469.8766075
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
3945318.60645269,3965949.96263004,3985447.74841913,4003540.66179684,4020034.82127861,3803380.08018406,3854776.45235253,3905104.45601251,3954307.56680163,3950877.4125618,3997348.69390241,4042446.97462078,4086068.68301633,4128112.2129854,4168458.91099139,4207044.29199031,4243820.16922372,4278746.73159118,4311790.34723509,4342960.88000301,4372261.43476227,4399871.70166667,4425799.4293919,4450066.73562001,4472697.73467924
80516.7062541367,80937.7543393886,81335.6683350843,81704.9114652416,82041.5269648689,73663.8343766537,70657.8168455656,67534.8685170016,64297.6840130347,60165.6458765757,56757.4865259975,53243.9824418137,49628.3645710484,45914.291549888,42105.6455655699,38207.2640039483,34224.3562034173,30162.3636668054,26026.9035044368,21823.9240201153,17559.2828705311,13239.3331043134,8869.33753385115,4454.52125687711,0
3945318.60645269,3965949.96263004,3985447.74841913,4003540.66179684,4020034.82127861,3803380.08018406,3854776.45235253,3905104.45601251,3954307.56680163,3950877.4125618,3997348.69390241,4042446.97462078,4086068.68301633,4128112.2129854,4168458.91099139,4207044.29199031,4243820.16922372,4278746.73159118,4311790.34723509,4342960.88000301,4372261.43476227,4399871.70166667,4425799.4293919,4450066.73562001,4472697.73467924
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.145932886919198,0.14822074626861,0.150545251707723,0.152909377084173,0.155306243237762,0.17065416191416,0.176552394331417,0.182698754495679,0.189113507278124,0.195811401118143,0.202813123519889,0.210138730284548,0.217817018817892,0.225867164224177,0.23432286660735,0.2457277418853,0.258044836496501,0.271409779438633,0.285978214674205,0.301954119353429,0.319601929924181,0.339225112046944,0.361247042849766,0.386207490429215,0.414871728709611
,,,,,,,,,,,,,,,,,,,,,,,,
