2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
358397.123432598,368324.796776282,378527.468694384,389012.756703444,399788.489326768,410862.711939349,422243.692774709,433939.92909812,445960.153550836,458313.340670054,471008.713589477,484055.750925491,497464.193854091,511244.053383828,525405.61783023,539959.460497263,554916.447571567,570287.746235364,586084.833004102,602319.502295043,619003.875233211,636150.408701261,653771.904640041,671881.519606762,690492.774597956
1020053.35130816,1095334.69464338,1171032.84454398,1247060.53079949,1323339.44623446,1399742.04380573,1476137.38057392,1552413.37122608,1628446.30358765,1704125.14200255,1779331.07103384,1853963.34926722,1927938.6298356,2001178.75584892,2073621.91495759,2145145.3312947,2215659.13689171,2285076.10250021,2353294.0558506,2420228.43120542,2485778.92670654,2549869.19080835,2612408.93181642,2673358.99153836,2732617.12323012
358397.123432598,368324.796776282,378527.468694384,389012.756703444,399788.489326768,410862.711939349,422243.692774709,433939.92909812,445960.153550836,458313.340670054,471008.713589477,484055.750925491,497464.193854091,511244.053383828,525405.61783023,539959.460497263,554916.447571567,570287.746235364,586084.833004102,602319.502295043,619003.875233211,636150.408701261,653771.904640041,671881.519606762,690492.774597956
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
