2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1044529.62443832,1080064.09513045,1116822.26835341,1154834.74120352,1194126.11685705,1234732.11285488,1276680.33214551,1320005.25554597,1364743.99269968,1410931.99801725,1458600.90938442,1507778.53025691,1558493.13888383,1610777.83276665,1664655.38633976,1720162.08320101,1777321.71758013,1836152.05473872,1896675.70493819,1958907.06611576,2022871.95822446,2088588.00788803,2156071.18320641,2225324.82213706,2296368.133391
214980.146378948,284704.068208892,358153.800508047,435441.729968852,516671.498314189,601946.909216791,691363.527550357,785017.242938374,883015.966585998,985458.75637555,1092440.31398892,1204052.74880448,1320406.50748333,1441620.77740001,1567795.5357022,1699045.84866165,1835435.80748313,1977025.52162095,2123866.91288278,2275996.28598941,2433462.62288054,2596293.83379503,2764507.58425194,2938068.27012846,3116980.12463418
329466.015220928,335504.483845723,341614.899761138,347803.648992396,354081.49981798,360453.041258758,366928.582641005,373514.934986203,380218.079417764,387045.800550727,394008.98392417,401121.598096028,408398.086417631,415850.794043788,423499.036684426,431354.886866297,439438.680094689,447775.099080067,456386.75408387,465301.87794108,474542.831880277,484137.618698563,494116.041393629,504516.025167404,515367.154904229
715063.609217391,744559.611284731,775207.36859227,807031.092211124,840044.617039074,874279.071596125,909751.749504501,946490.320559764,984525.913281918,1023886.19746652,1064591.92546025,1106656.93216088,1150095.0524662,1194927.03872287,1241156.34965533,1288807.19633471,1337883.03748545,1388376.95565865,1440288.95085432,1493605.18817468,1548329.12634418,1604450.38918947,1661955.14181278,1720808.79696966,1781000.97848677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
8279.9472,8404.146408,8530.20860412,8658.1617331818,8788.03415917953,8919.85467156722,9053.65249164073,9189.45727901534,9327.29913820057,9467.20862527357,9609.21675465268,9753.35500597247,9899.65533106205,10048.150161028,10198.8724134434,10351.855499645,10507.1333321397,10664.7403321218,10824.7114371036,10987.0821086602,11151.8883402901,11319.1666653945,11488.9541653754,11661.288477856,11836.2078050238
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02,2.87512697146253E-02
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,,,,,,,,,,,,,,,,,,,,,,,,
0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
,,,,,,,,,,,,,,,,,,,,,,,,
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168667.419672399,175624.863031592,182853.979542592,190360.480052434,198147.627902281,206222.765609749,214589.972351292,223255.774809236,232227.515501197,241511.721109501,251113.286645891,261035.475451532,271281.550867585,281856.407905795,292760.862401453,304000.625201593,315576.512141507,327486.891550613,339731.763428911,352307.864435238,365216.010404884,378453.753831979,392017.831375358,405900.084682115,420098.066246377
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072,0.755461833197072
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1259509.77081727,1364768.16333935,1474976.06886146,1590276.47117237,1710797.61517124,1836679.02207167,1968043.85969586,2105022.49848434,2247759.95928568,2396390.7543928,2551041.22337334,2711831.27906139,2878899.64636716,3052398.61016666,3232450.92204195,3419207.93186265,3612757.52506326,3813177.57635967,4020542.61782097,4234903.35210518,4456334.581105,4684881.84168306,4920578.76745835,5163393.09226552,5413348.25802518
6942.11098010093,7046.24264480245,7151.93628447448,7259.2153287416,7368.10355867272,7478.62511205281,7590.8044887336,7704.66655606461,7820.23655440558,7937.54010272166,8056.60320426248,8177.45225232642,8300.11403611132,8424.61574665298,8550.98498285278,8679.24975759557,8809.4385039595,8941.58008151889,9075.70378274168,9211.8393394828,9350.01692957504,9490.26718351867,9632.62119127145,9777.11050914052,9923.76716677762
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
557587.665883265,571941.308794826,586636.512470914,601687.090549068,617111.27361373,632921.840675565,649137.273692126,665773.113232955,682844.447079144,700368.422898513,718365.535246082,736859.673346171,755875.662286611,775436.781724458,795573.581169348,816310.1049506,837679.005716943,859717.846684636,882462.838689808,905956.461888702,930236.117402771,955345.559713046,981331.155716904,1008248.31272004,1036144.97440554
1134031.11056974,1267133.60408041,1407546.86742094,1555522.45275227,1711290.47516065,1875104.6964267,2047193.79373882,2227802.0359913,2417197.25269622,2615633.86567497,2823354.62857296,3040592.84633592,3267609.98103591,3504691.22663175,3752076.40720737,4010055.14445022,4278822.05466142,4558554.93564478,4849430.31719683,5151586.47221201,5465202.99868351,5790413.134095,6127331.89471638,6475971.10651815,6836431.1858091
