2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1044529.62443832,1080064.09513045,1116822.26835341,1154834.74120352,1194126.11685705,1247000.45888788,1289258.7047614,1332895.29222598,1377948.00371307,1424446.65326989,1472436.92263827,1521940.37657299,1572986.09691262,1625607.8903666,1679829.45998119,1735687.73175083,1793207.41581788,1852407.34264385,1913311.10583371,1975934.29224983,2040303.7087281,2106438.17391876,2174354.90433888,2244058.78893591,2315570.29193488
214980.146378948,284704.068208892,358153.800508047,435441.729968852,516671.498314189,577802.385664397,666124.382668396,758652.367402869,855492.991535474,925601.742188172,1029346.03503716,1137605.48162899,1250487.45755033,1368107.94849545,1490564.06271675,1617967.69387801,1750380.65955695,1887860.81927137,2030457.95876051,2178206.49313973,2331153.27709348,2489324.44934613,2652736.03785941,2821351.73419761,2995174.28813707
329466.015220928,335504.483845723,341614.899761138,347803.648992396,354081.49981798,372721.387291758,379506.955256902,386404.971666215,393422.090431155,400560.455803365,407844.997178015,415283.444412109,422891.044446423,430680.851643735,438673.11032586,446880.535416119,455324.378332434,464030.386985198,473022.154979391,482329.104075144,491974.58238392,501987.784729288,512399.762526099,523249.991966254,534569.313448109
715063.609217391,744559.611284731,775207.36859227,807031.092211124,840044.617039074,874279.071596125,909751.749504501,946490.320559764,984525.913281918,1023886.19746652,1064591.92546025,1106656.93216088,1150095.0524662,1194927.03872287,1241156.34965533,1288807.19633471,1337883.03748545,1388376.95565865,1440288.95085432,1493605.18817468,1548329.12634418,1604450.38918947,1661955.14181278,1720808.79696966,1781000.97848677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
8279.9472,8404.146408,8530.20860412,8658.1617331818,8788.03415917953,8919.85467156722,9053.65249164073,9189.45727901534,9327.29913820057,9467.20862527357,9609.21675465268,9753.35500597247,9899.65533106205,10048.150161028,10198.8724134434,10351.855499645,10507.1333321397,10664.7403321218,10824.7114371036,10987.0821086602,11151.8883402901,11319.1666653945,11488.9541653754,11661.288477856,11836.2078050238
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
