2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1044529.62443832,1080064.09513045,1116822.26835341,1154834.74120352,1194126.11685705,1449307.64821625,1583475.01723469,1727752.99587495,1882649.20754436,2030045.05860605,2205733.08831248,2393445.69693541,2593722.71546589,2807131.15240368,3034221.66477741,3275590.64820325,3531789.12050338,3755650.89302388,3961292.17680375,4173979.99287051,4393796.50999901,4620795.21891171,4855017.97489691,5096441.70319559,5345098.35801531
214980.146378948,284704.068208892,358153.800508047,435441.729968852,516671.498314189,376049.895189625,373100.791927344,365714.649646938,353534.441414942,323625.80435954,300692.641122298,271877.082662044,236782.773688489,194999.801767593,146105.801984222,89661.0095211181,25208.7822551699,0,0,0,0,0,0,0,0
329466.015220928,335504.483845723,341614.899761138,347803.648992396,354081.49981798,575028.576620121,673723.267730191,781262.675315182,898123.294262439,1006158.86113952,1141141.16285223,1286788.76477453,1443627.66299969,1612204.11368082,1793065.31512208,1986783.45186854,2193906.08301793,2367273.93736523,2521003.22594943,2680374.80469582,2845467.38365483,3016344.82972224,3193062.83308413,3375632.90622593,3564097.37952854
715063.609217391,744559.611284731,775207.36859227,807031.092211124,840044.617039074,874279.071596125,909751.749504501,946490.320559764,984525.913281918,1023886.19746652,1064591.92546025,1106656.93216088,1150095.0524662,1194927.03872287,1241156.34965533,1288807.19633471,1337883.03748545,1388376.95565865,1440288.95085432,1493605.18817468,1548329.12634418,1604450.38918947,1661955.14181278,1720808.79696966,1781000.97848677
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.34,0.345,0.35
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
