2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
8447659.81500321,8884554.39008772,9329658.01072211,9586258.45266869,9849648.18014677,10750714.1173972,10967279.0877922,11468068.0014779,11980820.7378331,12338690.9110415,12867745.4372432,13408226.6541269,13960068.3616635,14523235.6487831,15097664.2646812,15683196.8908428,16279657.2510356,16886857.0422704,17504544.2957123,18132388.5827891,18769950.0882523,19417143.1140993,20073990.7350236,20739980.9092836,21414864.222888
0,0,3806.9950310206,208370.041655615,418581.28370321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3834802.31045854,4152386.31157825,4475606.77944023,4607620.35385559,4743634.64636931,5514482.58406589,5598067.98605204,5963324.03722006,6338287.60130871,6556359.13664524,6943736.69532102,7340666.47196426,7747086.12348588,8162914.45553895,8588067.93262017,9022466.37500955,9466037.64384774,9918670.57494027,10380221.1937651,10850513.3493398,11329311.644222,11816530.3804091,12312154.0631973,12815956.0643858,13327794.9642961
4612857.50454467,4732168.07850947,4854051.23128188,4978638.0988131,5106013.53377746,5236231.53333133,5369211.10174015,5504743.96425786,5642533.13652438,5782331.77439624,5924008.74192223,6067560.1821626,6212982.23817763,6360321.1932442,6509596.33206102,6660730.51583326,6813619.60718791,6968186.46733012,7124323.10194715,7281875.23344931,7440638.44403032,7600612.73369018,7761836.67182629,7924024.84489779,8087069.25859191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
