2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
8447659.81500321,8884554.39008772,9329658.01072211,9586258.45266869,9849648.18014677,10604170.2718163,10938613.453379,11270910.9709991,11600355.4897491,11926249.9740451,12247960.2306181,12564938.391945,12876628.0189699,13182505.2399923,13482022.7480397,13662042.3015798,13825939.8186072,13972859.0947391,14101909.949182,14212163.255559,14302635.1597007,14372643.0742488,14421591.5791672,14448511.2412006,14452654.3243715
0,0,3806.9950310206,208370.041655615,418581.28370321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3834802.31045854,4152386.31157825,4475606.77944023,4607620.35385559,4743634.64636931,5367938.73848492,5569402.35163881,5766167.0067412,5957822.35322468,6143918.19964885,6323951.48869586,6497378.20978244,6663645.7807923,6822184.04674805,6972426.41597863,7001311.78574658,7012320.21141932,7004672.62740902,6977586.84723482,6930288.02210965,6861996.71567034,6772030.34055862,6659754.90734088,6524486.39630284,6365585.0657796
4612857.50454467,4732168.07850947,4854051.23128188,4978638.0988131,5106013.53377746,5236231.53333133,5369211.10174015,5504743.96425786,5642533.13652438,5782331.77439624,5924008.74192223,6067560.1821626,6212982.23817763,6360321.1932442,6509596.33206102,6660730.51583326,6813619.60718791,6968186.46733012,7124323.10194715,7281875.23344931,7440638.44403032,7600612.73369018,7761836.67182629,7924024.84489779,8087069.25859191
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
342807,347574.964291413,352409.244274993,357310.762308951,362280.453580211,374310.650803455,370439.084883542,366367.152089602,362089.712517744,357601.51714951,352897.205734913,347971.304636519,342818.224633883,337432.258687625,331807.579662436,333685.706114776,335545.519655263,337386.048318089,339206.295098877,341005.237422217,342781.82659886,344534.987272382,346263.616855125,347966.584953214,349642.732780454
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
