2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
2855735.73792483,2919764.99009708,2979146.54486203,3034103.08892357,3084797.84741776,3130152.92022774,3172880.77080833,3211978.99012121,3247697.22661384,3237611.63992608,3266863.51074466,3293403.73065155,3317444.09633538,3339191.70406599,3358850.67062442,3376607.99151193,3392628.31162408,3407093.72081083,3420181.34601408,3432019.64276795,3442774.74867727,3452593.30110055,3461701.84523429,3470187.99487294,3478203.497783
3490343.67968591,3568601.65456309,3641179.11038693,3708348.21979547,3770308.48017726,3825742.45805613,3877965.38654352,3925752.09903703,3969407.72141692,3957080.89324299,3992833.17979903,4025271.2263519,4054653.89552102,4081234.30496954,4105261.93076318,4126965.32295902,4146545.71420721,4164225.65876879,4180221.64512832,4194690.67449417,4207835.80393889,4219836.25690067,4230968.92195302,4241340.88262249,4251137.60840144
2855735.73792483,2919764.99009708,2979146.54486203,3034103.08892357,3084797.84741776,3130152.92022774,3172880.77080833,3211978.99012121,3247697.22661384,3237611.63992608,3266863.51074466,3293403.73065155,3317444.09633538,3339191.70406599,3358850.67062442,3376607.99151193,3392628.31162408,3407093.72081083,3420181.34601408,3432019.64276795,3442774.74867727,3452593.30110055,3461701.84523429,3470187.99487294,3478203.497783
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973,0.282718906084973
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
