2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
17653486.1475157,18731820.122947,19825858.5851997,20933582.4519253,21923192.9230269,23180752.8564257,24326557.0981759,25480652.1974128,26642158.7655392,27448585.8706094,28606661.5580992,29768697.648934,30933601.6067287,32100335.3682221,33267899.0695749,34435333.8346261,35601758.3166905,36766307.2637855,37928162.1735741,39086621.1143653,40240850.0171858,41390089.2558302,42533496.5391748,43670583.5097688,44800683.9644431
0,0,0,0,130042.096237879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9860759.51285561,10785914.3332827,11730800.1902543,12693761.5413396,13543202.0643706,14665538.9536442,15681274.1349145,16710311.5024126,17751431.1364787,18441893.6095273,19488390.1528652,20543310.8175266,21605530.8547289,22673984.5905839,23747639.9488548,24825478.230356,25906539.8582933,26989899.7576599,28074698.0101785,29160149.8522783,30245384.400817,31329582.2065649,32411882.5713137,33491672.8897925,34568222.5340368
7792726.63466013,7945905.78966425,8095058.3949454,8239820.91058574,8379990.85865633,8515213.90278155,8645282.96326136,8770340.69500024,8890727.62906047,9006692.26108211,9118271.40523403,9225386.83140734,9328070.75199982,9426350.77763816,9520259.12072011,9609855.60427016,9695218.45839719,9776407.50612567,9853464.16339559,9926471.26208699,9995465.61636875,10060507.0492653,10121613.9678612,10178910.6199763,10232461.4304063
0,0,0,0,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.23,0.26,0.29,0.32,0.35,0.38,0.41,0.44,0.47,0.5
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.255,0.26,0.265,0.27,0.275,0.28,0.285,0.29,0.295,0.3,0.305,0.31,0.315,0.32,0.325,0.33,0.335,0.34,0.345,0.35
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0.1,0.1,0.1,0.1,0.105,0.11,0.115,0.12,0.125,0.13,0.135,0.14,0.145,0.15,0.155,0.16,0.165,0.17,0.175,0.18,0.185,0.19,0.195,0.2
,,,,,,,,,,,,,,,,,,,,,,,,
0.2,0.2,0.2,0.2,0.2,0.193,0.186,0.179,0.172,0.165,0.158,0.151,0.144,0.137,0.13,0.127,0.124,0.121,0.118,0.115,0.112,0.109,0.106,0.103,0.1
787598.311563637,799412.286237091,811403.470530647,823574.522588607,835928.140427436,848467.062533847,861194.068471855,874111.979498933,887223.659191416,900532.014079288,914039.994290477,927750.594204834,941666.853117906,955791.855914675,970128.733753395,984680.664759696,999450.874731091,1014442.63785206,1029659.27741984,1045104.16658114,1060780.72907985,1076692.44001605,1092842.82661629,1109235.46901554,1125874.00105077
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
0.27,0.27,0.27,0.27,0.27,0.263,0.256,0.249,0.242,0.235,0.228,0.221,0.214,0.207,0.2,0.195,0.19,0.185,0.18,0.175,0.17,0.165,0.16,0.155,0.15
0.27,0.27,0.27,0.27,0.27,0.263,0.256,0.249,0.242,0.235,0.228,0.221,0.214,0.207,0.2,0.195,0.19,0.185,0.18,0.175,0.17,0.165,0.16,0.155,0.15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
