2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.1045,0.106300000190735,0.10810000038147,0.109900000572205,0.11170000076294,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674,0.113500000953674
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.061655,6.27170001125336E-02,6.37790002250672E-02,6.48410003376008E-02,6.59030004501344E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02,6.69650005626679E-02
0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667,0.956616666666667
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.73987343053605E-05,5.75148433832481E-05,5.69223495174516E-05,5.63040779522219E-05,4.87383655162397E-05,4.72362658730628E-05,4.56870253229486E-05,4.40760263358221E-05,4.23833160652693E-05,4.05932083504667E-05,3.8697314807134E-05,3.66907526780114E-05,3.45642756400826E-05,3.23076922208713E-05,2.99092066263591E-05,2.70785007837709E-05,2.42257135820891E-05,2.42120260261424E-05,2.34433373446586E-05,2.26780449722695E-05,2.19052263911057E-05,2.11123216497715E-05,2.02849712694157E-05,1.94065914240549E-05,1.84573529382174E-05
2.57317897642978E-02,2.58102710151179E-02,2.58858213907208E-02,2.59589042933773E-02,2.60831725616592E-02,4.85281510937122E-02,7.09605316856204E-02,9.33806299403205E-02,0.115788749248364,0.138185103214018,0.160569856843372,0.182943163420723,0.205305182342514,0.227656082741296,0.249996041799849,0.274995690690501,0.299995509374737,0.324994566544265,0.34999390445445,0.374993292805568,0.399992733357722,0.424992229766955,0.449991787826407,0.47499141586073,0.499991125417102
