2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781,0.311127508854781
0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218,0.388872491145218
0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.190776097107327,0.200278019146963,0.209526147661615,0.218527279796348,0.22726828333894,0.235886596901671,0.244571613092645,0.253323166435059,0.262141118165882,0.271025352726055,0.279975776635395,0.288992321665093,0.298074953739227,0.307223697077314,0.316438665573911,0.322459106910798,0.32847862838574,0.334496954122822,0.340513594770053,0.346527820855825,0.352538503625967,0.35854378496063,0.36455320796445,0.370567107422624,0.376587023990852
0.354298466056465,0.344814842283997,0.335585161315827,0.32660261319922,0.31783295608898,0.311669550694736,0.305436298281414,0.299133288791551,0.29276065087276,0.286318538840063,0.279807124774889,0.273226596148563,0.266577158443954,0.259859048898316,0.253072550359553,0.247052545031839,0.241031848743683,0.235010354643576,0.228987839387715,0.222963974658505,0.21693825868547,0.21090987015533,0.204884572388994,0.198862192605201,0.192843165168566
0.024925436836208,2.49071385690397E-02,2.48886910225582E-02,2.48701070044321E-02,2.48987605720797E-02,2.24438524035934E-02,1.99920886259405E-02,1.75435447733904E-02,0.015098230961358,1.26561084338821E-02,1.02170985897169E-02,7.78108218634449E-03,5.34788781681922E-03,2.91725402436975E-03,4.88784066536548E-04,4.88348057363754E-04,4.89522870577254E-04,4.92691233602177E-04,4.98565842232533E-04,5.08204485670591E-04,5.23237688563222E-04,5.46344884040576E-04,5.62219646555543E-04,5.70699972174626E-04,5.69810840581568E-04
0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43
127583.970927026,129613.587312468,131675.494236685,133764.516342631,135876.575276196,130399.618982644,124915.74314104,119430.952463201,113951.85372807,108484.644761504,103035.058808972,97608.2466401332,92209.1729802914,86842.9568774072,81515.811805197,75767.6496619146,70112.8398868721,64561.6214768573,59124.5758632792,53812.4066936936,48636.0064686832,43606.2475026434,38734.7253671906,34033.1903346741,29513.5006745418
