2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
0.590839157405965,0.59084479716964,0.59084978143438,0.590854224841959,0.59085821607637,0.590862073745054,0.590865560079883,0.590868730829308,0.590871631937771,0.59087430044103,0.590876742845415,0.59087901084329,0.590881124628021,0.590883101102105,0.59088495475712,0.590886773389489,0.59088855613139,0.590890302228601,0.59089201093973,0.590893681547457,0.590895313724611,0.590896907213343,0.590898462108216,0.590899978111318,0.590901455327087
0.312736476979147,0.312733590768239,0.312731040016099,0.312728766053543,0.312726723495564,0.312724749291311,0.31272296512123,0.31272134245544,0.31271985778137,0.312718492145563,0.312717242218335,0.312716081545551,0.312714999793034,0.312713988310747,0.312713039682466,0.312712108977407,0.312711196639689,0.312710303055293,0.312709428603635,0.31270857365181,0.312707738367253,0.312706922881919,0.312706127147417,0.312705351316204,0.312704595334834
9.64243656148879E-02,0.096421612062121,9.64191785495206E-02,0.096417009104498,9.64150604280661E-02,9.64131769636355E-02,9.64114747988875E-02,9.64099267152521E-02,9.64085102808594E-02,9.64072074134066E-02,9.64060149362499E-02,9.64049076111592E-02,9.64038755789444E-02,9.64029105871475E-02,9.64020055604146E-02,9.64011176331036E-02,9.64002472289208E-02,9.63993947161056E-02,9.63985604566352E-02,9.63977448007332E-02,9.63969479081366E-02,9.63961699047378E-02,9.63954107443677E-02,9.63946705724782E-02,0.096393949338078
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.590839157405965,0.59084479716964,0.59084978143438,0.590854224841959,0.59085821607637,0.590862073745054,0.590865560079883,0.590868730829308,0.590871631937771,0.59087430044103,0.590876742845415,0.59087901084329,0.590881124628021,0.590883101102105,0.59088495475712,0.590886773389489,0.59088855613139,0.590890302228601,0.59089201093973,0.590893681547457,0.590895313724611,0.590896907213343,0.590898462108216,0.590899978111318,0.590901455327087
0.312736476979147,0.312733590768239,0.312731040016099,0.312728766053543,0.312726723495564,0.312724749291311,0.31272296512123,0.31272134245544,0.31271985778137,0.312718492145563,0.312717242218335,0.312716081545551,0.312714999793034,0.312713988310747,0.312713039682466,0.312712108977407,0.312711196639689,0.312710303055293,0.312709428603635,0.31270857365181,0.312707738367253,0.312706922881919,0.312706127147417,0.312705351316204,0.312704595334834
9.64243656148879E-02,0.096421612062121,9.64191785495206E-02,0.096417009104498,9.64150604280661E-02,9.64131769636355E-02,9.64114747988875E-02,9.64099267152521E-02,9.64085102808594E-02,9.64072074134066E-02,9.64060149362499E-02,9.64049076111592E-02,9.64038755789444E-02,9.64029105871475E-02,9.64020055604146E-02,9.64011176331036E-02,9.64002472289208E-02,9.63993947161056E-02,9.63985604566352E-02,9.63977448007332E-02,9.63969479081366E-02,9.63961699047378E-02,9.63954107443677E-02,9.63946705724782E-02,0.096393949338078
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.79523780506225E-02,4.01405161477242E-02,4.22572281462202E-02,4.43017162317369E-02,4.63296894071474E-02,0.048806138944365,5.12473403224229E-02,5.36538122284624E-02,5.60261299070671E-02,5.83647980665575E-02,6.06701709495711E-02,6.29425347379359E-02,6.51821753839417E-02,6.73893558996479E-02,6.95643247816961E-02,0.071707355347127,7.38187512249937E-02,7.58987692205023E-02,7.79476523047107E-02,0.079965734369026,8.19532615950344E-02,8.39105208896752E-02,8.58376566230264E-02,8.77350818954135E-02,8.96030791771878E-02
0.199249984765768,0.19356067241611,0.188209054084199,0.183133385921989,0.178504758942187,0.175924167892654,0.173387685757779,0.170893511879691,0.168440297820692,0.166026674576298,0.163651049228637,0.16131187891127,0.159007832535336,0.156737696494258,0.154500373249949,0.152294945043673,0.150120651669485,0.147976711238705,0.145862389028273,0.143777179440208,0.141720455898464,0.139691708587664,0.137690231170677,0.135715793380869,0.133767964073349
0.262797637183609,0.266298811436165,0.26953371776958,0.272564897846274,0.275165551650665,0.275269693162981,0.275364973919798,0.275452675891847,0.275533572272241,0.275608527357144,0.275678779821792,0.275745586350794,0.275809992080722,0.275872947606094,0.275935301968355,0.2759976996092,0.276060597105522,0.276124519540793,0.276189958667017,0.276257086190766,0.276326282506502,0.27639777052266,0.276472112206297,0.276549124723718,0.276628956749463
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1016669.92879104,1088773.96246601,1161067.68376604,1233554.74440441,1306242.39357432,1383350.45520824,1460661.75197715,1538203.64966139,1616024.7032956,1694164.94301657,1772021.42020646,1850233.95450124,1928815.45787639,2007771.55935512,2087108.72235501,2169716.94717997,2255741.27315371,2345327.92069847,2438623.66752208,2535783.2754663,2636970.10944658,2742355.34812215,2852116.22072098,2966436.22490086,3085509.77055979
1696.65154690145,1718.58832672106,1739.98636422479,1760.81505668902,1781.06956572908,1800.74563728114,1819.84218392054,1838.36269877644,1856.31358436966,1873.7027932942,1890.53369533383,1906.81328862902,1922.54683530994,1937.74067730642,1952.40148675964,1966.53821708972,1980.16303307381,1993.28458057747,2005.91172325481,2018.06012637644,2029.73738858508,2040.95355125947,2051.70655928927,2062.01504138151,2071.88622217138
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
